userId,movieId,rating,timestamp
9,150,4.0,1073837284
16,3300,4.0,1485646493
24,62,2.0,979870775
24,2146,3.0,979971920
24,2336,4.0,979869938
34,1201,5.0,1498761683
34,1210,5.0,1498760749
35,2692,4.5,1386529414
36,1097,5.0,965349039
46,7254,3.5,1090419309
56,3101,3.5,1410105403
62,2248,3.5,1135978343
63,4878,0.5,1198545512
68,1527,3.5,1177085220
74,551,3.0,862778644
83,51255,4.5,1447818049
83,58559,3.5,1447815762
101,736,3.0,850689862
114,356,5.0,834966148
127,50,5.0,832049956
127,491,3.0,832056867
132,3791,2.0,979076392
139,4306,4.0,1012863843
161,150,3.5,1145157631
170,141884,1.0,1449366222
191,368,3.0,859723966
193,539,4.0,941540212
195,1390,4.0,967094185
212,54286,3.0,1362785208
218,3087,4.5,1235182151
229,1752,1.0,1037830942
229,2820,4.0,1037823805
229,3969,2.0,1037031026
229,4298,5.0,1037818872
230,7445,3.5,1167861837
231,673,2.0,1178798711
231,1704,3.5,1177590914
231,2174,4.5,1177670844
231,2717,3.0,1177664012
231,79185,3.0,1285776462
245,2959,4.0,1389670057
250,2324,4.0,995418997
251,1912,3.0,1055004604
251,3316,2.0,1061290272
253,1259,5.0,992662541
261,356,4.0,864375518
261,376,2.0,864374833
267,6537,3.0,1469186708
269,3949,4.0,1097589191
271,1220,4.0,1046975390
289,68157,4.0,1281202177
293,145,3.5,1101837385
314,25774,5.0,1273527447
319,608,3.0,945879667
322,1029,4.0,846659810
332,1042,3.0,1233829437
337,308,5.0,944932031
337,599,4.0,944931972
340,898,5.0,1441775771
344,1210,5.0,1467391122
352,106487,5.0,1464484417
362,2791,5.0,938484453
366,5,4.0,862847695
368,1907,2.5,1152667506
368,2071,4.0,1152666938
377,377,4.0,839510279
382,1274,3.0,1017096230
388,69122,2.5,1439421867
398,1589,3.0,1091706253
398,2606,3.5,1091538701
398,5406,3.0,1091704481
398,5833,3.5,1091261820
415,1974,3.0,982190602
426,1954,4.0,942965360
429,2701,0.5,1415620799
429,45210,2.5,1415617615
432,329,3.0,839943212
434,2483,3.5,1165617143
434,6008,3.5,1165619823
434,8798,4.0,1165618396
436,4306,4.0,1136253122
436,7123,1.0,1229118732
443,54286,4.0,1306105187
454,5992,4.5,1318540667
457,4306,4.0,1486010392
459,56333,4.0,1443931837
461,4299,2.5,1062092995
465,3785,1.0,1093555208
465,4974,2.5,1093551260
481,292,1.0,833644421
481,306,3.0,833644719
483,5991,2.5,1097864769
483,7761,5.0,1095783592
500,1862,4.5,1328759086
505,94969,3.5,1432545133
512,442,0.5,1097721614
512,3039,3.5,1097721844
515,47,4.0,1243295858
515,3916,3.0,1243295911
521,1344,4.0,950046566
528,553,3.5,1122335006
533,34,5.0,993502734
533,1683,3.0,974649025
542,231,4.0,836802573
546,592,3.0,836004291
